Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
"Transparent button with text (white): ""Watch on YouTube""",NPT-126,21611,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:27 PM,25/Feb/25 3:41 PM,25/Feb/25 3:39 PM,,Primariatechirghiol_v1.0_english,,0,"When pressing the transparent button, with the text: ""Watch on YouTube"", which is located in a low area above the video on the website, the end user is redirected to the YouTube platform to watch the video ""iluminat public Techirghiol"".",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-128,,,,,,,,,,,NPT-122,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69db9459,,,,,,,,,,,,NPT-122,The video integrated into the website (under cb_menu),,,,,,,,,,,,,,,,,0|i01mah:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,,21607,The video integrated into the website (under cb_menu),To Do,24/Feb/25 7:27 PM
The red video play button,NPT-125,21610,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,24/Feb/25 7:05 PM,25/Feb/25 3:41 PM,25/Feb/25 3:29 PM,,Primariatechirghiol_v1.0_english,,0,"When you click the red button with a white triangle pointing to the right, which is found in the center of the video on the website, the video on the website starts playing. Specific YouTube platform functionalities appear while watching the video, functionalities that are intended to contribute positively to maintaining a conducive environment for the end user to watch video content.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-128,,,,,,,,,,,NPT-122,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2acebef9,,,,,,,,,,,,NPT-122,The video integrated into the website (under cb_menu),,,,,,,,,,,,,,,,,0|i01ma9:,,,,,,,,,,,NPT Sprint 2,,,,,,,,,,,,,,,,,,,,,21607,The video integrated into the website (under cb_menu),To Do,24/Feb/25 7:05 PM
Text: ”Powered by INDRA SISTEMAS S.A.”,NPT-61,18861,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 7:14 PM,25/Jul/24 9:23 PM,,,2-Primariatechirghiol_versiunea_1.0_ro,,0,"În partea dreaptă a părții de jos a/bottom-ului site-ului web se află text-link-ul: ”Powered by INDRA SISTEMAS S.A.”, de culoare gri închis.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a7d0ea5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01b95:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,25/Jul/24 7:19 AM
Text: ”Designed by INDRA SISTEMAS S.A.”,NPT-60,18860,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 7:09 PM,25/Jul/24 9:23 PM,,,2-Primariatechirghiol_versiunea_1.0_ro,,0,"În centrul părții de jos a/bottom-ului site-ului web se află text-link-ul: ”Designed by INDRA SISTEMAS S.A.”, de culoare gri închis.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79327c90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01b8x:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,25/Jul/24 7:18 AM
Iconiță ”știri” + Text: ”Stiri”,NPT-59,18859,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 7:06 PM,25/Jul/24 9:23 PM,,,2-Primariatechirghiol_versiunea_1.0_ro,,0,"În centrul părții de jos a/bottom-ului site-ului web se află iconița ”știri” + textul-link: ”Stiri”, ambele de culoare gri închis.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e33839e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01b8p:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,25/Jul/24 7:18 AM
Text: ”© 2023 Primaria Techirghiol”,NPT-58,18857,Story,To Do,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:51 PM,25/Jul/24 9:23 PM,,,2-Primariatechirghiol_versiunea_1.0_ro,,0,"În stânga părții de jos a/bottom-ului site-ului web se află text-link-ul: ”© 2023 Primaria Techirghiol”, de culoare gri închis.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d09d899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01b89:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,25/Jul/24 7:18 AM
Titlul meniului: ”Link-uri Utile”,NPT-57,18856,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:29 PM,25/Jul/24 7:16 AM,,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Titlul acestui meniu este amplasat pe partea dreaptă a paginii/sidebar, deasupra butoanelor: AM PODCA, Președintele României, Guvernul României, Senatul României, Camera Deputaților, Uniunea Europeană, Infoeuropa, Ministerul Dezvoltării Regionale și Turismului.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-99,NPT-100,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50317d50,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b81:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3253574209_*|*_10000_*:*_1_*:*_620_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Buton: ”Ministerul Dezvoltării Regionale și Turismului”,NPT-56,18855,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:22 PM,25/Jul/24 7:16 AM,,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web al fostului Minister al Dezvoltării Regionale și Turismului, actual ”Ministerul Dezvoltării, Lucrărilor Publice și Administrației”:

[https://mdlpa.ro|https://mdlpa.ro]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-97,NPT-99,NPT-100,NPT-102,NPT-104,NPT-106,NPT-108,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63d0970c,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b7t:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3254010380_*|*_10000_*:*_1_*:*_542_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Buton: ”Infoeuropa”,NPT-55,18854,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:19 PM,25/Jul/24 3:26 PM,,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web:

[http://ec.europa.eu/romania/index_ro|http://ec.europa.eu/romania/index_ro.htm]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,NPT-93,NPT-94,NPT-95,NPT-100,NPT-99,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@768b82c6,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b7l:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3253805374_*|*_10000_*:*_1_*:*_374732_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Buton: ”Uniunea Europeană”,NPT-54,18853,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:18 PM,25/Jul/24 3:27 PM,,25/Jul/24 7:16 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web:

[http://europa.eu/index_ro|http://europa.eu/index_ro] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,NPT-99,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-100,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1924e528,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b7d:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3254279410_*|*_10000_*:*_1_*:*_559_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:16 AM
Buton: ”Camera Deputaților”,NPT-53,18852,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:16 PM,25/Jul/24 3:25 PM,,25/Jul/24 7:15 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web:

[http://www.cdep.ro|http://www.cdep.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,NPT-99,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-100,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c7c2467,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b75:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3254345090_*|*_10000_*:*_1_*:*_580_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:15 AM
Buton: ”Senatul României”,NPT-52,18851,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:16 PM,25/Jul/24 7:15 AM,,25/Jul/24 7:15 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web: 

[http://www.senat.ro|http://www.senat.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-99,NPT-100,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30e4b55e,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b6x:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3253802371_*|*_10000_*:*_1_*:*_593308_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:15 AM
Buton: ”Guvernul României”,NPT-51,18850,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:15 PM,25/Jul/24 7:15 AM,,25/Jul/24 7:15 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Prin apăsarea butonului acesta, utilizatorul final ar trebui să fie redirecționat către site-ul web: 

[http://www.guv.ro|http://www.guv.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-99,NPT-100,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5da5a24c,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b6p:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3254434505_*|*_10000_*:*_1_*:*_650_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:15 AM
Buton: ”Președintele României”,NPT-50,18849,Story,Done,NPT,Norbert Poka_TM2,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,17/Jun/24 3:12 PM,25/Jul/24 7:15 AM,,25/Jul/24 7:15 AM,Primariatechirghiol.ro_versiunea_1.0_limba_română,,0,"Butonul acesta ar trebui să redirecționeze utilizatorul final către site-ul web: 

[http://www.presidency.ro|http://www.presidency.ro/]",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,NPT-25,,,,,,,,,,,NPT-93,NPT-94,NPT-95,NPT-99,NPT-100,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2522c87c,,,,,,,,,,,,NPT-25,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),,,,,,,,,,,,,,,,,0|i01b6h:,,,,,,,,,,,NPT Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_3254598909_*|*_10000_*:*_1_*:*_642_*|*_10001_*:*_1_*:*_0,,18798,Meniul de link-uri utile/sidebar-ul (pe partea dreaptă),Done,25/Jul/24 7:15 AM
